Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify by clicking on ""Edit button"" icon and check whether after clicking it directs you to ""Edit marketing Tracking"" page",RET-72,10071,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:32 AM,08/Sep/21 10:35 AM,08/Sep/21 10:44 AM,08/Sep/21 10:35 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,RET-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fj:,,RET Sprint 1,,,,,,,,Done
Verify that checkbox is allowing to select or deselect multiple data from the list,RET-71,10070,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,07/Sep/21 12:54 PM,07/Sep/21 12:55 PM,07/Sep/21 12:54 PM,07/Sep/21 12:55 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fb:,,RET Sprint 1,,,,,,,,Done
"Verify by typing date in ""Date added"" field and not selecting from the calender",RET-70,10069,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,07/Sep/21 10:48 AM,07/Sep/21 10:52 AM,07/Sep/21 10:49 AM,07/Sep/21 10:52 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000f3:,,RET Sprint 1,,,,,,,,Done
Verify that checkbox is allowing to select or deselect data from the list,RET-69,10068,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 4:38 PM,07/Sep/21 12:54 PM,07/Sep/21 12:53 PM,06/Sep/21 4:44 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ev:,,RET Sprint 1,,,,,,,,Done
As an admin I should be able to see the checkbox so that I can select or deselect data from the list,RET-68,10067,Story,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 4:30 PM,09/Sep/21 10:27 AM,09/Sep/21 10:26 AM,06/Sep/21 4:44 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,RET-69,RET-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000en:,,RET Sprint 1,,,,,,,,Done
"Verify by clicking on ""Cancel"" the entered data is not added in the list",RET-67,10066,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 2:51 PM,08/Sep/21 11:10 AM,08/Sep/21 11:08 AM,06/Sep/21 2:55 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ef:,,RET Sprint 1,,,,,,,,Done
"Verify by clicking on ""Cancel"" , it is directing to the previous page",RET-66,10065,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 2:38 PM,06/Sep/21 4:38 PM,08/Sep/21 11:07 AM,06/Sep/21 2:40 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000e7:,,RET Sprint 1,,,,,,,,Done
"Validate ""Cancel"" icon in the add marketing list page",RET-65,10064,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 2:35 PM,09/Sep/21 10:24 AM,09/Sep/21 10:24 AM,06/Sep/21 2:36 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dz:,,RET Sprint 1,,,,,,,,Done
"Verify by clicking on ""Save"" the added data is reflecting in the list or not",RET-64,10063,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 2:26 PM,08/Sep/21 10:54 AM,08/Sep/21 10:53 AM,06/Sep/21 2:32 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dr:,,RET Sprint 1,,,,,,,,Done
"Validate ""Save"" icon in the add marketing list page",RET-63,10062,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 2:22 PM,09/Sep/21 10:28 AM,09/Sep/21 10:28 AM,06/Sep/21 2:25 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dj:,,RET Sprint 1,,,,,,,,Done
"Verify ""Examples"" text fields have default URL linking the site in the Marketing tracking list",RET-62,10061,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 1:53 PM,06/Sep/21 2:23 PM,06/Sep/21 1:57 PM,06/Sep/21 1:58 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000db:,,RET Sprint 1,,,,,,,,Done
"Verify ""Examples"" text fields adds the tracking code to the end of the URL linking the site in the Marketing tracking list",RET-61,10060,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 1:50 PM,06/Sep/21 1:57 PM,06/Sep/21 1:50 PM,06/Sep/21 1:57 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000d3:,,RET Sprint 1,,,,,,,,Done
"Validate ""Examples"" text fields in the Marketing tracking list",RET-60,10059,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 1:11 PM,06/Sep/21 1:50 PM,06/Sep/21 1:11 PM,06/Sep/21 1:14 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000cv:,,RET Sprint 1,,,,,,,,Done
"Verify with null characters in the ""Tracking Code"" text field",RET-59,10058,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 12:29 PM,06/Sep/21 1:11 PM,09/Sep/21 10:28 AM,06/Sep/21 12:44 PM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000cn:,,RET Sprint 1,,,,,,,,Done
"""Tracking code"" text field is accepting 257 characters",RET-58,10057,Bug,To Do,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 11:41 AM,08/Sep/21 12:58 PM,07/Sep/21 2:25 PM,,,0,"Steps to reproduce:

# Navigate to the marketing page
# Click on “Add” 
# Enter  257 characters in ""Tracking code"" field 

Expected result:

""Tracking code” field should not accept 257 characters and should give an error message.

Actual result:

""Tracking code"" field is accepting 257 characters and also showing a message “ Success: You have modified marketing tracking\!” but it is not reflecting the same in the marketing tracking list with 257 characters. It is reflecting only 64 characters.

 

!image-20210907-085729.png|width=100%!

!image-20210906-062829.png|width=100%!",,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,RET-57,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Sep/21 11:58 AM;ug:32f39ca6-1311-426d-9f47-e408dc649987;image-20210906-062829.png;https://retailcorporate.atlassian.net/secure/attachment/10011/image-20210906-062829.png,07/Sep/21 2:27 PM;ug:32f39ca6-1311-426d-9f47-e408dc649987;image-20210907-085729.png;https://retailcorporate.atlassian.net/secure/attachment/10015/image-20210907-085729.png,,,,,,{},,,,,,,0|i000c3:,,RET Sprint 1,,,,,,,,To Do
"Verify with 257 characters in the ""Tracking code"" text field",RET-57,10056,Test,Blocked,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 11:38 AM,08/Sep/21 12:58 PM,09/Sep/21 10:28 AM,,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000c7:,,RET Sprint 1,,,,,,,,In Progress
"Verify with 25 characters in the ""Tracking code"" text field",RET-56,10055,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 11:35 AM,06/Sep/21 11:38 AM,09/Sep/21 10:28 AM,06/Sep/21 11:37 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bz:,,RET Sprint 1,,,,,,,,Done
"""Tracking code"" text field is accepting blank space",RET-55,10054,Bug,To Do,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 11:27 AM,08/Sep/21 12:58 PM,07/Sep/21 2:24 PM,,,0,"Steps to reproduce:

# Navigate to the marketing page
# Click on “Add” 
# Enter  blank space in ""Tracking code"" field 

Expected result:

""Tracking code"" field should not accept only blank space

Actual result:

""Tracking code"" field is accepting only blank space

!image-20210906-060138.png|width=100%!

!image-20210906-060215.png|width=100%!",,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,RET-54,,RET-54,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Sep/21 11:45 AM;ug:32f39ca6-1311-426d-9f47-e408dc649987;image-20210906-060138.png;https://retailcorporate.atlassian.net/secure/attachment/10009/image-20210906-060138.png,06/Sep/21 11:45 AM;ug:32f39ca6-1311-426d-9f47-e408dc649987;image-20210906-060215.png;https://retailcorporate.atlassian.net/secure/attachment/10010/image-20210906-060215.png,,,,,,{},,,,,,,0|i000eb:,,RET Sprint 1,,,,,,,,To Do
"Verify with blank space in the ""Tracking code"" text field",RET-54,10053,Test,Blocked,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 11:20 AM,07/Sep/21 11:08 AM,09/Sep/21 9:55 AM,,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bj:,,RET Sprint 1,,,,,,,,In Progress
"Verify with special characters in the ""Tracking code"" text field",RET-53,10052,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 10:52 AM,06/Sep/21 10:58 AM,09/Sep/21 10:28 AM,06/Sep/21 10:58 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bb:,,RET Sprint 1,,,,,,,,Done
"Verify with alphanumeric characters in the ""Tracking code"" text field",RET-52,10051,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 10:46 AM,06/Sep/21 10:47 AM,09/Sep/21 10:28 AM,06/Sep/21 10:47 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000b3:,,RET Sprint 1,,,,,,,,Done
"Validate after clicking ""Add"" there is a text field to add ""Tracking code"" in the Marketing tracking list",RET-51,10050,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 10:07 AM,06/Sep/21 10:46 AM,09/Sep/21 10:28 AM,06/Sep/21 10:46 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000av:,,RET Sprint 1,,,,,,,,Done
"Verify with null characters in the ""Campaign description"" text field",RET-50,10049,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 10:02 AM,06/Sep/21 10:04 AM,09/Sep/21 10:28 AM,06/Sep/21 10:04 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000an:,,RET Sprint 1,,,,,,,,Done
"Verify with null characters in the ""Campaign name"" text field",RET-49,10048,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,06/Sep/21 10:01 AM,06/Sep/21 12:29 PM,09/Sep/21 10:28 AM,06/Sep/21 10:02 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000af:,,RET Sprint 1,,,,,,,,Done
